STATEFP,COUNTYFP,TRACTCE,GEOID,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,data_as_of,data_loaded_at,multipolygon
6,75,16101,60750161012,G5030,61251,0,37.7804952,-122.4321461,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.433973 37.781219, -122.433251 37.78131, -122.432329 37.781428, -122.431696 37.781508, -122.430696 37.781635, -122.430507 37.780705, -122.43032 37.779772, -122.431952 37.779564, -122.433596 37.779355, -122.433785 37.780287, -122.433973 37.781219)))"
6,75,35201,60750352014,G5030,118860,0,37.7576268,-122.5057621,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.509111 37.758414, -122.507936 37.758466, -122.506868 37.758513, -122.505797 37.75856, -122.504725 37.758606, -122.503652 37.758653, -122.502582 37.7587, -122.50245 37.756835, -122.503524 37.756787, -122.504594 37.75674, -122.505665 37.756693, -122.506737 37.756646, -122.507805 37.756599, -122.508903 37.756551, -122.509111 37.758414)))"
6,75,15900,60750159001,G5030,98562,0,37.78376,-122.4260597,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.428009 37.785058, -122.426456 37.785245, -122.425671 37.785337, -122.42491 37.785417, -122.424704 37.785418, -122.424678 37.785291, -122.424487 37.784346, -122.424295 37.7834, -122.424202 37.782942, -122.424108 37.782477, -122.427396 37.782057, -122.427491 37.782523, -122.427584 37.782986, -122.427779 37.783925, -122.427797 37.784011, -122.427972 37.784871, -122.428009 37.785058)))"
6,75,15600,60750156003,G5030,136885,0,37.7789685,-122.4572711,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.458878 37.781326, -122.457759 37.781402, -122.456629 37.781439, -122.456396 37.781447, -122.456304 37.781449, -122.456282 37.78132, -122.456079 37.78027, -122.455983 37.780096, -122.455843 37.779941, -122.455684 37.779726, -122.455574 37.779477, -122.455442 37.778828, -122.455213 37.777704, -122.455217 37.777599, -122.456051 37.777499, -122.456863 37.777402, -122.456746 37.776825, -122.456663 37.776419, -122.458505 37.77619, -122.458581 37.777254, -122.458638 37.778008, -122.458732 37.779333, -122.458861 37.781203, -122.458878 37.781326)))"
6,75,15500,60750155002,G5030,91857,0,37.7842181,-122.4405351,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.443183 37.784827, -122.441537 37.785036, -122.43992 37.785242, -122.439873 37.785248, -122.439835 37.785253, -122.439752 37.785263, -122.438206 37.785459, -122.43802 37.784531, -122.437863 37.783791, -122.438011 37.783772, -122.438255 37.783715, -122.438528 37.783597, -122.438901 37.78345, -122.439303 37.783395, -122.439439 37.783385, -122.439549 37.783377, -122.441158 37.783164, -122.44281 37.782971, -122.442989 37.783897, -122.443183 37.784827)))"
6,75,15300,60750153001,G5030,109964,0,37.7872683,-122.4375217,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.440488 37.788061, -122.44044 37.788067, -122.44039 37.788073, -122.44032 37.788082, -122.438773 37.788278, -122.437129 37.788488, -122.435486 37.788697, -122.435293 37.787741, -122.435199 37.787275, -122.435106 37.786811, -122.434918 37.785876, -122.436557 37.785668, -122.436747 37.786601, -122.438394 37.786392, -122.439939 37.786196, -122.440016 37.786186, -122.440061 37.78618, -122.440107 37.786174, -122.440121 37.786244, -122.440278 37.787025, -122.440293 37.787107, -122.440312 37.787187, -122.440472 37.78799, -122.440488 37.788061)))"
6,75,15100,60750151002,G5030,37640,0,37.7895624,-122.4237457,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.425616 37.789952, -122.423975 37.79016, -122.42242 37.790358, -122.422408 37.790241, -122.422257 37.789492, -122.422237 37.789399, -122.422219 37.789306, -122.422145 37.788943, -122.423688 37.788746, -122.423781 37.789203, -122.425423 37.788995, -122.425616 37.789952)))"
6,75,13300,60750133005,G5030,106588,0,37.7872766,-122.4573018,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.459388 37.788405, -122.457234 37.78868, -122.455595 37.788888, -122.455419 37.788018, -122.455236 37.787137, -122.45505 37.786209, -122.455865 37.786105, -122.456685 37.786, -122.456963 37.785964, -122.458062 37.785824, -122.459179 37.785682, -122.459256 37.786623, -122.45928 37.786914, -122.459324 37.787521, -122.459388 37.788405)))"
6,75,13300,60750133004,G5030,159311,0,37.7891063,-122.4550383,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.459476 37.789711, -122.459029 37.789716, -122.45748 37.790026, -122.455836 37.790355, -122.454229 37.790676, -122.45274 37.790974, -122.45262 37.79088, -122.45248 37.790189, -122.452302 37.789308, -122.452126 37.788437, -122.451946 37.787552, -122.453593 37.787344, -122.455236 37.787137, -122.455419 37.788018, -122.455595 37.788888, -122.457234 37.78868, -122.459388 37.788405, -122.459453 37.789301, -122.459476 37.789711)))"
6,75,13300,60750133003,G5030,89813,0,37.7872853,-122.4503236,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.455236 37.787137, -122.453593 37.787344, -122.451946 37.787552, -122.450303 37.787766, -122.448656 37.787977, -122.446974 37.788186, -122.445589 37.788364, -122.445402 37.787438, -122.446793 37.787262, -122.448468 37.787049, -122.450118 37.786838, -122.450225 37.786817, -122.451758 37.78662, -122.453287 37.786428, -122.453407 37.786418, -122.454774 37.786244, -122.45505 37.786209, -122.455236 37.787137)))"
6,75,13300,60750133001,G5030,113695,0,37.7906045,-122.4493015,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.45274 37.790974, -122.450995 37.791323, -122.449426 37.791637, -122.449367 37.791488, -122.44802 37.791659, -122.447679 37.791703, -122.4463 37.791879, -122.446117 37.790999, -122.445934 37.790119, -122.44733 37.789941, -122.449012 37.789727, -122.450655 37.789518, -122.452302 37.789308, -122.45248 37.790189, -122.45262 37.79088, -122.45274 37.790974)))"
6,75,15600,60750156001,G5030,73954,0,37.7797127,-122.4547806,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.456304 37.781449, -122.456059 37.78146, -122.455843 37.781472, -122.45553 37.781509, -122.45529 37.781529, -122.454186 37.781651, -122.454148 37.781529, -122.454116 37.781435, -122.453877 37.780239, -122.453855 37.780126, -122.453841 37.779888, -122.453782 37.779602, -122.453669 37.779055, -122.45345 37.777978, -122.453385 37.777827, -122.454331 37.777713, -122.455217 37.777599, -122.455213 37.777704, -122.455442 37.778828, -122.455574 37.779477, -122.455684 37.779726, -122.455843 37.779941, -122.455983 37.780096, -122.456079 37.78027, -122.456282 37.78132, -122.456304 37.781449)))"
6,75,47801,60750478012,G5030,117321,0,37.7761404,-122.494845,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.497455 37.777579, -122.496379 37.777628, -122.49531 37.777677, -122.49424 37.777725, -122.493168 37.777774, -122.493044 37.775911, -122.492903 37.774045, -122.493968 37.773996, -122.495039 37.773947, -122.495175 37.775813, -122.496259 37.775764, -122.497319 37.775715, -122.497455 37.777579)))"
6,75,12301,60750123012,G5030,15204,0,37.7854316,-122.4120549,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.41297 37.78579, -122.412148 37.785893, -122.411326 37.785996, -122.41114 37.785075, -122.41184 37.784985, -122.412214 37.784938, -122.412782 37.784866, -122.412872 37.785308, -122.412881 37.785354, -122.41297 37.78579)))"
